l,one,two
1,data_speech_commands_v0.02/bird/41474817_bird_0.wav,data_speech_commands_v0.02/bird/41474817_bird_0.wav
0,data_speech_commands_v0.02/bird/41474817_bird_0.wav,data_speech_commands_v0.02/happy/365531e2_happy_3.wav
0,data_speech_commands_v0.02/bird/41474817_bird_0.wav,data_speech_commands_v0.02/nine/f2e59fea_nine_1.wav
1,data_speech_commands_v0.02/bird/d9b50b8b_bird_0.wav,data_speech_commands_v0.02/bird/d9b50b8b_bird_1.wav
1,data_speech_commands_v0.02/bird/d9b50b8b_bird_0.wav,data_speech_commands_v0.02/bird/d9b50b8b_bird_2.wav
0,data_speech_commands_v0.02/bird/d9b50b8b_bird_0.wav,data_speech_commands_v0.02/nine/df1d5024_nine_1.wav
0,data_speech_commands_v0.02/bird/d9b50b8b_bird_0.wav,data_speech_commands_v0.02/off/b5cf6ea8_off_2.wav
1,data_speech_commands_v0.02/bird/e6515415_bird_0.wav,data_speech_commands_v0.02/bird/e6515415_bird_1.wav
1,data_speech_commands_v0.02/bird/e6515415_bird_0.wav,data_speech_commands_v0.02/bird/e6515415_bird_1.wav
0,data_speech_commands_v0.02/bird/e6515415_bird_0.wav,data_speech_commands_v0.02/stop/1e02ffc5_stop_0.wav
0,data_speech_commands_v0.02/bird/e6515415_bird_0.wav,data_speech_commands_v0.02/six/bcf614a2_six_0.wav
1,data_speech_commands_v0.02/bird/c90c0105_bird_0.wav,data_speech_commands_v0.02/bird/c90c0105_bird_3.wav
1,data_speech_commands_v0.02/bird/c90c0105_bird_0.wav,data_speech_commands_v0.02/bird/c90c0105_bird_3.wav
0,data_speech_commands_v0.02/bird/c90c0105_bird_0.wav,data_speech_commands_v0.02/two/234d6a48_two_0.wav
0,data_speech_commands_v0.02/bird/c90c0105_bird_0.wav,data_speech_commands_v0.02/left/b5552931_left_1.wav
1,data_speech_commands_v0.02/bird/1a6eca98_bird_0.wav,data_speech_commands_v0.02/bird/1a6eca98_bird_1.wav
1,data_speech_commands_v0.02/bird/1a6eca98_bird_0.wav,data_speech_commands_v0.02/bird/1a6eca98_bird_0.wav
0,data_speech_commands_v0.02/bird/1a6eca98_bird_0.wav,data_speech_commands_v0.02/one/bdee441c_one_3.wav
0,data_speech_commands_v0.02/bird/1a6eca98_bird_0.wav,data_speech_commands_v0.02/left/4a294341_left_0.wav
1,data_speech_commands_v0.02/bird/1b835b87_bird_0.wav,data_speech_commands_v0.02/bird/1b835b87_bird_3.wav
1,data_speech_commands_v0.02/bird/1b835b87_bird_0.wav,data_speech_commands_v0.02/bird/1b835b87_bird_0.wav
0,data_speech_commands_v0.02/bird/1b835b87_bird_0.wav,data_speech_commands_v0.02/two/bb6d4301_two_2.wav
0,data_speech_commands_v0.02/bird/1b835b87_bird_0.wav,data_speech_commands_v0.02/on/8012c69d_on_0.wav
1,data_speech_commands_v0.02/bird/43691f67_bird_0.wav,data_speech_commands_v0.02/bird/43691f67_bird_0.wav
1,data_speech_commands_v0.02/bird/43691f67_bird_0.wav,data_speech_commands_v0.02/bird/43691f67_bird_0.wav
0,data_speech_commands_v0.02/bird/43691f67_bird_0.wav,data_speech_commands_v0.02/two/c1d39ce8_two_2.wav
0,data_speech_commands_v0.02/bird/43691f67_bird_0.wav,data_speech_commands_v0.02/three/39a12648_three_2.wav
1,data_speech_commands_v0.02/bird/7910d292_bird_0.wav,data_speech_commands_v0.02/house/7910d292_nohash_3.wav
1,data_speech_commands_v0.02/bird/7910d292_bird_0.wav,data_speech_commands_v0.02/bird/7910d292_bird_0.wav
0,data_speech_commands_v0.02/bird/7910d292_bird_0.wav,data_speech_commands_v0.02/six/7fb8d703_six_0.wav
0,data_speech_commands_v0.02/bird/7910d292_bird_0.wav,data_speech_commands_v0.02/down/6c0f6493_down_0.wav
1,data_speech_commands_v0.02/bird/c33682f0_bird_0.wav,data_speech_commands_v0.02/bird/c33682f0_bird_1.wav
1,data_speech_commands_v0.02/bird/c33682f0_bird_0.wav,data_speech_commands_v0.02/bird/c33682f0_bird_3.wav
0,data_speech_commands_v0.02/bird/c33682f0_bird_0.wav,data_speech_commands_v0.02/on/1ed0b13d_on_1.wav
0,data_speech_commands_v0.02/bird/c33682f0_bird_0.wav,data_speech_commands_v0.02/on/3589bc72_on_3.wav
1,data_speech_commands_v0.02/bird/8c4854bc_bird_0.wav,data_speech_commands_v0.02/bird/8c4854bc_bird_3.wav
1,data_speech_commands_v0.02/bird/8c4854bc_bird_0.wav,data_speech_commands_v0.02/bird/8c4854bc_bird_2.wav
0,data_speech_commands_v0.02/bird/8c4854bc_bird_0.wav,data_speech_commands_v0.02/two/099d52ad_two_2.wav
0,data_speech_commands_v0.02/bird/8c4854bc_bird_0.wav,data_speech_commands_v0.02/nine/0717b9f6_nine_2.wav
1,data_speech_commands_v0.02/bird/31d68957_bird_0.wav,data_speech_commands_v0.02/bird/31d68957_bird_2.wav
1,data_speech_commands_v0.02/bird/31d68957_bird_0.wav,data_speech_commands_v0.02/bird/31d68957_bird_2.wav
0,data_speech_commands_v0.02/bird/31d68957_bird_0.wav,data_speech_commands_v0.02/nine/439c84f4_nine_2.wav
0,data_speech_commands_v0.02/bird/31d68957_bird_0.wav,data_speech_commands_v0.02/right/c22ebf46_right_3.wav
1,data_speech_commands_v0.02/bird/c50f55b8_bird_0.wav,data_speech_commands_v0.02/down/c50f55b8_down_11.wav
1,data_speech_commands_v0.02/bird/c50f55b8_bird_0.wav,data_speech_commands_v0.02/five/c50f55b8_five_12.wav
0,data_speech_commands_v0.02/bird/c50f55b8_bird_0.wav,data_speech_commands_v0.02/learn/5ebc1cda_learn_2.wav
0,data_speech_commands_v0.02/bird/c50f55b8_bird_0.wav,data_speech_commands_v0.02/seven/aff582a1_seven_3.wav
1,data_speech_commands_v0.02/bird/d7a58714_bird_0.wav,data_speech_commands_v0.02/bird/d7a58714_bird_3.wav
1,data_speech_commands_v0.02/bird/d7a58714_bird_0.wav,data_speech_commands_v0.02/bird/d7a58714_bird_1.wav
0,data_speech_commands_v0.02/bird/d7a58714_bird_0.wav,data_speech_commands_v0.02/stop/bd76a7fd_stop_1.wav
0,data_speech_commands_v0.02/bird/d7a58714_bird_0.wav,data_speech_commands_v0.02/backward/cb72dfb6_backward_1.wav
1,data_speech_commands_v0.02/three/8a90cf67_three_0.wav,data_speech_commands_v0.02/three/8a90cf67_three_3.wav
1,data_speech_commands_v0.02/three/8a90cf67_three_0.wav,data_speech_commands_v0.02/eight/8a90cf67_eight_3.wav
0,data_speech_commands_v0.02/three/8a90cf67_three_0.wav,data_speech_commands_v0.02/no/5769c5ab_no_2.wav
0,data_speech_commands_v0.02/three/8a90cf67_three_0.wav,data_speech_commands_v0.02/nine/4e99c1b7_nine_0.wav
